;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Roi
50;Average fixed raters;0.920934;12.647738;816;2448;0.0;[0.91 0.93];Preprocessed data;Control;alpha-1;PO
51;Average fixed raters;0.91967;12.448612;816;2448;0.0;[0.91 0.93];Preprocessed data;Control;alpha-2;PO
52;Average fixed raters;0.946222;18.594867;816;2448;0.0;[0.94 0.95];Preprocessed data;Control;beta1;PO
53;Average fixed raters;0.948399;19.379612;816;2448;0.0;[0.94 0.95];Preprocessed data;Control;beta2;PO
54;Average fixed raters;0.956297;22.881598;816;2448;0.0;[0.95 0.96];Preprocessed data;Control;beta3;PO
55;Average fixed raters;0.925856;13.487314;816;2448;0.0;[0.92 0.93];Preprocessed data;Control;gamma;PO
56;Average fixed raters;0.84104;6.29091;429;1287;0.0;[0.82 0.86];Preprocessed data;Control;delta;T
57;Average fixed raters;0.961192;25.767802;429;1287;0.0;[0.95 0.97];Preprocessed data;Control;theta;T
58;Average fixed raters;0.926289;13.56643;429;1287;0.0;[0.91 0.94];Preprocessed data;Control;alpha-1;T
59;Average fixed raters;0.924255;13.202276;429;1287;0.0;[0.91 0.94];Preprocessed data;Control;alpha-2;T
60;Average fixed raters;0.913859;11.608911;429;1287;0.0;[0.9  0.93];Preprocessed data;Control;beta1;T
61;Average fixed raters;0.914237;11.660012;429;1287;0.0;[0.9  0.93];Preprocessed data;Control;beta2;T
62;Average fixed raters;0.930441;14.376316;429;1287;0.0;[0.92 0.94];Preprocessed data;Control;beta3;T
63;Average fixed raters;0.89147;9.214036;429;1287;0.0;[0.87 0.91];Preprocessed data;Control;gamma;T
