;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
56;0.825498;5.73058;17;51;1e-06;[0.64 0.93];Average fixed raters;Preprocessed data;CTR;delta;C25
57;0.97102;34.506227;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;C25
58;0.909587;11.060339;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;alpha-1;C25
59;0.95101;20.412391;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;C25
60;0.925911;13.497268;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta1;C25
61;0.96711;30.403973;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta2;C25
62;0.976891;43.273914;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;C25
63;0.949009;19.61122;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;gamma;C25
64;0.821094;5.589516;24;72;0.0;[0.67 0.91];Average fixed raters;Preprocessed data;G2;delta;C14
65;0.9236;13.089079;24;72;0.0;[0.86 0.96];Average fixed raters;Preprocessed data;G2;theta;C14
66;0.918902;12.330724;24;72;0.0;[0.85 0.96];Average fixed raters;Preprocessed data;G2;alpha-1;C14
67;0.940825;16.899046;24;72;0.0;[0.89 0.97];Average fixed raters;Preprocessed data;G2;alpha-2;C14
68;0.873059;7.877653;24;72;0.0;[0.77 0.94];Average fixed raters;Preprocessed data;G2;beta1;C14
69;0.898618;9.863698;24;72;0.0;[0.81 0.95];Average fixed raters;Preprocessed data;G2;beta2;C14
70;0.932362;14.784536;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;beta3;C14
71;0.627351;2.683488;24;72;0.000678;[0.31 0.82];Average fixed raters;Preprocessed data;G2;gamma;C14
72;0.846605;6.51912;24;72;0.0;[0.72 0.93];Average fixed raters;Preprocessed data;G2;delta;C15
73;0.959076;24.435695;24;72;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;G2;theta;C15
74;0.928873;14.059329;24;72;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;G2;alpha-1;C15
75;0.897463;9.752611;24;72;0.0;[0.81 0.95];Average fixed raters;Preprocessed data;G2;alpha-2;C15
76;0.935703;15.552945;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;beta1;C15
77;0.93896;16.382629;24;72;0.0;[0.89 0.97];Average fixed raters;Preprocessed data;G2;beta2;C15
78;0.932767;14.873663;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;beta3;C15
79;0.756171;4.101232;24;72;2e-06;[0.55 0.88];Average fixed raters;Preprocessed data;G2;gamma;C15
80;0.854625;6.878759;24;72;0.0;[0.73 0.93];Average fixed raters;Preprocessed data;G2;delta;C18
81;0.927948;13.878793;24;72;0.0;[0.87 0.96];Average fixed raters;Preprocessed data;G2;theta;C18
82;0.924339;13.21687;24;72;0.0;[0.86 0.96];Average fixed raters;Preprocessed data;G2;alpha-1;C18
83;0.91189;11.34942;24;72;0.0;[0.84 0.96];Average fixed raters;Preprocessed data;G2;alpha-2;C18
84;0.891779;9.240317;24;72;0.0;[0.8  0.95];Average fixed raters;Preprocessed data;G2;beta1;C18
85;0.923564;13.082801;24;72;0.0;[0.86 0.96];Average fixed raters;Preprocessed data;G2;beta2;C18
86;0.939601;16.556634;24;72;0.0;[0.89 0.97];Average fixed raters;Preprocessed data;G2;beta3;C18
87;0.857372;7.011255;24;72;0.0;[0.74 0.93];Average fixed raters;Preprocessed data;G2;gamma;C18
88;0.781741;4.581715;24;72;0.0;[0.6  0.89];Average fixed raters;Preprocessed data;G2;delta;C20
89;0.939329;16.482297;24;72;0.0;[0.89 0.97];Average fixed raters;Preprocessed data;G2;theta;C20
90;0.922509;12.904744;24;72;0.0;[0.86 0.96];Average fixed raters;Preprocessed data;G2;alpha-1;C20
91;0.916854;12.027037;24;72;0.0;[0.85 0.96];Average fixed raters;Preprocessed data;G2;alpha-2;C20
92;0.871245;7.766668;24;72;0.0;[0.76 0.94];Average fixed raters;Preprocessed data;G2;beta1;C20
93;0.918294;12.23904;24;72;0.0;[0.85 0.96];Average fixed raters;Preprocessed data;G2;beta2;C20
94;0.90859;10.939689;24;72;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;G2;beta3;C20
95;0.787159;4.698336;24;72;0.0;[0.61 0.9 ];Average fixed raters;Preprocessed data;G2;gamma;C20
96;0.82073;5.578182;24;72;0.0;[0.67 0.91];Average fixed raters;Preprocessed data;G2;delta;C22
97;0.934644;15.300745;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;theta;C22
98;0.936571;15.765594;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;alpha-1;C22
99;0.927707;13.832571;24;72;0.0;[0.87 0.96];Average fixed raters;Preprocessed data;G2;alpha-2;C22
100;0.892356;9.289877;24;72;0.0;[0.8  0.95];Average fixed raters;Preprocessed data;G2;beta1;C22
101;0.944512;18.022074;24;72;0.0;[0.9  0.97];Average fixed raters;Preprocessed data;G2;beta2;C22
102;0.953559;21.532663;24;72;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;G2;beta3;C22
103;0.914026;11.631445;24;72;0.0;[0.84 0.96];Average fixed raters;Preprocessed data;G2;gamma;C22
104;0.740899;3.859505;24;72;5e-06;[0.52 0.87];Average fixed raters;Preprocessed data;G2;delta;C23
105;0.910006;11.111833;24;72;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;G2;theta;C23
106;0.853401;6.821338;24;72;0.0;[0.73 0.93];Average fixed raters;Preprocessed data;G2;alpha-1;C23
107;0.876286;8.083153;24;72;0.0;[0.77 0.94];Average fixed raters;Preprocessed data;G2;alpha-2;C23
108;0.876582;8.102575;24;72;0.0;[0.77 0.94];Average fixed raters;Preprocessed data;G2;beta1;C23
109;0.898931;9.8942;24;72;0.0;[0.81 0.95];Average fixed raters;Preprocessed data;G2;beta2;C23
110;0.823508;5.665974;24;72;0.0;[0.68 0.91];Average fixed raters;Preprocessed data;G2;beta3;C23
111;0.874732;7.982896;24;72;0.0;[0.77 0.94];Average fixed raters;Preprocessed data;G2;gamma;C23
112;0.768707;4.323518;24;72;1e-06;[0.57 0.89];Average fixed raters;Preprocessed data;G2;delta;C24
113;0.942216;17.305941;24;72;0.0;[0.89 0.97];Average fixed raters;Preprocessed data;G2;theta;C24
114;0.901958;10.199742;24;72;0.0;[0.82 0.95];Average fixed raters;Preprocessed data;G2;alpha-1;C24
115;0.888781;8.991291;24;72;0.0;[0.8  0.95];Average fixed raters;Preprocessed data;G2;alpha-2;C24
116;0.894618;9.489286;24;72;0.0;[0.81 0.95];Average fixed raters;Preprocessed data;G2;beta1;C24
117;0.94123;17.015414;24;72;0.0;[0.89 0.97];Average fixed raters;Preprocessed data;G2;beta2;C24
118;0.862589;7.277433;24;72;0.0;[0.75 0.93];Average fixed raters;Preprocessed data;G2;beta3;C24
119;0.87374;7.920146;24;72;0.0;[0.77 0.94];Average fixed raters;Preprocessed data;G2;gamma;C24
120;0.678317;3.108648;24;72;0.000109;[0.41 0.84];Average fixed raters;Preprocessed data;G2;delta;C25
121;0.920171;12.526844;24;72;0.0;[0.85 0.96];Average fixed raters;Preprocessed data;G2;theta;C25
122;0.90164;10.166767;24;72;0.0;[0.82 0.95];Average fixed raters;Preprocessed data;G2;alpha-1;C25
123;0.910778;11.208011;24;72;0.0;[0.84 0.96];Average fixed raters;Preprocessed data;G2;alpha-2;C25
124;0.912999;11.494123;24;72;0.0;[0.84 0.96];Average fixed raters;Preprocessed data;G2;beta1;C25
125;0.949904;19.961564;24;72;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;G2;beta2;C25
126;0.931381;14.573251;24;72;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;G2;beta3;C25
127;0.901566;10.159136;24;72;0.0;[0.82 0.95];Average fixed raters;Preprocessed data;G2;gamma;C25
128;0.907856;10.852623;17;51;0.0;[0.81 0.96];Average fixed raters;Normalized data;CTR;delta;C14
129;0.958853;24.303212;17;51;0.0;[0.92 0.98];Average fixed raters;Normalized data;CTR;theta;C14
130;0.938272;16.200089;17;51;0.0;[0.87 0.97];Average fixed raters;Normalized data;CTR;alpha-1;C14
131;0.946142;18.56751;17;51;0.0;[0.89 0.98];Average fixed raters;Normalized data;CTR;alpha-2;C14
132;0.895843;9.600856;17;51;0.0;[0.79 0.96];Average fixed raters;Normalized data;CTR;beta1;C14
133;0.914144;11.647414;17;51;0.0;[0.82 0.96];Average fixed raters;Normalized data;CTR;beta2;C14
134;0.94105;16.963664;17;51;0.0;[0.88 0.98];Average fixed raters;Normalized data;CTR;beta3;C14
135;0.912416;11.417549;17;51;0.0;[0.82 0.96];Average fixed raters;Normalized data;CTR;gamma;C14
136;0.878628;8.239161;17;51;0.0;[0.75 0.95];Average fixed raters;Normalized data;CTR;delta;C15
137;0.921991;12.819081;17;51;0.0;[0.84 0.97];Average fixed raters;Normalized data;CTR;theta;C15
138;0.874271;7.953614;17;51;0.0;[0.74 0.95];Average fixed raters;Normalized data;CTR;alpha-1;C15
139;0.844414;6.427325;17;51;0.0;[0.68 0.94];Average fixed raters;Normalized data;CTR;alpha-2;C15
140;0.877028;8.131903;17;51;0.0;[0.75 0.95];Average fixed raters;Normalized data;CTR;beta1;C15
