;Description;ICC;F;df1;df2;pval;CI95%;Stage;Group;Bands;Components
56;Average fixed raters;0.754766;4.077742;18;54;3.1e-05;[0.51 0.9 ];Preprocessed data;G1;delta;C25
57;Average fixed raters;0.900718;10.072295;18;54;0.0;[0.8  0.96];Preprocessed data;G1;theta;C25
58;Average fixed raters;0.931398;14.576912;18;54;0.0;[0.86 0.97];Preprocessed data;G1;alpha-1;C25
59;Average fixed raters;0.910908;11.224359;18;54;0.0;[0.82 0.96];Preprocessed data;G1;alpha-2;C25
60;Average fixed raters;0.957763;23.675789;18;54;0.0;[0.92 0.98];Preprocessed data;G1;beta1;C25
61;Average fixed raters;0.94496;18.168751;18;54;0.0;[0.89 0.98];Preprocessed data;G1;beta2;C25
62;Average fixed raters;0.941272;17.027767;18;54;0.0;[0.88 0.97];Preprocessed data;G1;beta3;C25
63;Average fixed raters;0.903126;10.322699;18;54;0.0;[0.81 0.96];Preprocessed data;G1;gamma;C25
64;Average fixed raters;0.821094;5.589516;24;72;0.0;[0.67 0.91];Preprocessed data;G2;delta;C14
65;Average fixed raters;0.9236;13.089079;24;72;0.0;[0.86 0.96];Preprocessed data;G2;theta;C14
66;Average fixed raters;0.918902;12.330724;24;72;0.0;[0.85 0.96];Preprocessed data;G2;alpha-1;C14
67;Average fixed raters;0.940825;16.899046;24;72;0.0;[0.89 0.97];Preprocessed data;G2;alpha-2;C14
68;Average fixed raters;0.873059;7.877653;24;72;0.0;[0.77 0.94];Preprocessed data;G2;beta1;C14
69;Average fixed raters;0.898618;9.863698;24;72;0.0;[0.81 0.95];Preprocessed data;G2;beta2;C14
70;Average fixed raters;0.932362;14.784536;24;72;0.0;[0.88 0.97];Preprocessed data;G2;beta3;C14
71;Average fixed raters;0.627351;2.683488;24;72;0.000678;[0.31 0.82];Preprocessed data;G2;gamma;C14
72;Average fixed raters;0.846605;6.51912;24;72;0.0;[0.72 0.93];Preprocessed data;G2;delta;C15
73;Average fixed raters;0.959076;24.435695;24;72;0.0;[0.92 0.98];Preprocessed data;G2;theta;C15
74;Average fixed raters;0.928873;14.059329;24;72;0.0;[0.87 0.97];Preprocessed data;G2;alpha-1;C15
75;Average fixed raters;0.897463;9.752611;24;72;0.0;[0.81 0.95];Preprocessed data;G2;alpha-2;C15
76;Average fixed raters;0.935703;15.552945;24;72;0.0;[0.88 0.97];Preprocessed data;G2;beta1;C15
77;Average fixed raters;0.93896;16.382629;24;72;0.0;[0.89 0.97];Preprocessed data;G2;beta2;C15
78;Average fixed raters;0.932767;14.873663;24;72;0.0;[0.88 0.97];Preprocessed data;G2;beta3;C15
79;Average fixed raters;0.756171;4.101232;24;72;2e-06;[0.55 0.88];Preprocessed data;G2;gamma;C15
80;Average fixed raters;0.854625;6.878759;24;72;0.0;[0.73 0.93];Preprocessed data;G2;delta;C18
81;Average fixed raters;0.927948;13.878793;24;72;0.0;[0.87 0.96];Preprocessed data;G2;theta;C18
82;Average fixed raters;0.924339;13.21687;24;72;0.0;[0.86 0.96];Preprocessed data;G2;alpha-1;C18
83;Average fixed raters;0.91189;11.34942;24;72;0.0;[0.84 0.96];Preprocessed data;G2;alpha-2;C18
