;Description;ICC;F;df1;df2;pval;CI95%;Type;Stage;Group;Bands;Roi
230;Single fixed raters;0.83294;20.943552;601;1803;0.0;[0.81 0.85];ICC3;Normalized data;Control;beta3;F
231;Average raters absolute;0.951921;20.798888;601;1806;0.0;[0.95 0.96];ICC1k;Normalized data;Control;beta3;F
232;Average random raters;0.951936;20.943552;601;1803;0.0;[0.95 0.96];ICC2k;Normalized data;Control;beta3;F
233;Average fixed raters;0.952253;20.943552;601;1803;0.0;[0.95 0.96];ICC3k;Normalized data;Control;beta3;F
234;Single raters absolute;0.744751;12.670947;601;1806;0.0;[0.72 0.77];ICC1;Normalized data;Control;gamma;F
235;Single random raters;0.744871;12.765306;601;1803;0.0;[0.72 0.77];ICC2;Normalized data;Control;gamma;F
236;Single fixed raters;0.746278;12.765306;601;1803;0.0;[0.72 0.77];ICC3;Normalized data;Control;gamma;F
237;Average raters absolute;0.921079;12.670947;601;1806;0.0;[0.91 0.93];ICC1k;Normalized data;Control;gamma;F
238;Average random raters;0.921125;12.765306;601;1803;0.0;[0.91 0.93];ICC2k;Normalized data;Control;gamma;F
239;Average fixed raters;0.921663;12.765306;601;1803;0.0;[0.91 0.93];ICC3k;Normalized data;Control;gamma;F
240;Single raters absolute;0.650655;8.449998;644;1935;0.0;[0.62 0.68];ICC1;Normalized data;Control;delta;C
241;Single random raters;0.652176;8.895458;644;1932;0.0;[0.61 0.69];ICC2;Normalized data;Control;delta;C
242;Single fixed raters;0.663737;8.895458;644;1932;0.0;[0.63 0.69];ICC3;Normalized data;Control;delta;C
243;Average raters absolute;0.881657;8.449998;644;1935;0.0;[0.87 0.9 ];ICC1k;Normalized data;Control;delta;C
244;Average random raters;0.882354;8.895458;644;1932;0.0;[0.86 0.9 ];ICC2k;Normalized data;Control;delta;C
245;Average fixed raters;0.887583;8.895458;644;1932;0.0;[0.87 0.9 ];ICC3k;Normalized data;Control;delta;C
246;Single raters absolute;0.858932;25.355184;644;1935;0.0;[0.84 0.87];ICC1;Normalized data;Control;theta;C
247;Single random raters;0.859049;25.962161;644;1932;0.0;[0.84 0.87];ICC2;Normalized data;Control;theta;C
248;Single fixed raters;0.861889;25.962161;644;1932;0.0;[0.85 0.88];ICC3;Normalized data;Control;theta;C
249;Average raters absolute;0.96056;25.355184;644;1935;0.0;[0.96 0.97];ICC1k;Normalized data;Control;theta;C
250;Average random raters;0.960597;25.962161;644;1932;0.0;[0.96 0.97];ICC2k;Normalized data;Control;theta;C
251;Average fixed raters;0.961482;25.962161;644;1932;0.0;[0.96 0.97];ICC3k;Normalized data;Control;theta;C
252;Single raters absolute;0.739005;12.325963;644;1935;0.0;[0.71 0.76];ICC1;Normalized data;Control;alpha-1;C
253;Single random raters;0.74039;13.423519;644;1932;0.0;[0.7  0.77];ICC2;Normalized data;Control;alpha-1;C
254;Single fixed raters;0.756447;13.423519;644;1932;0.0;[0.73 0.78];ICC3;Normalized data;Control;alpha-1;C
255;Average raters absolute;0.91887;12.325963;644;1935;0.0;[0.91 0.93];ICC1k;Normalized data;Control;alpha-1;C
256;Average random raters;0.919405;13.423519;644;1932;0.0;[0.9  0.93];ICC2k;Normalized data;Control;alpha-1;C
257;Average fixed raters;0.925504;13.423519;644;1932;0.0;[0.92 0.93];ICC3k;Normalized data;Control;alpha-1;C
258;Single raters absolute;0.7522;13.142023;644;1935;0.0;[0.73 0.78];ICC1;Normalized data;Control;alpha-2;C
259;Single random raters;0.752781;13.660199;644;1932;0.0;[0.72 0.78];ICC2;Normalized data;Control;alpha-2;C
260;Single fixed raters;0.759907;13.660199;644;1932;0.0;[0.73 0.78];ICC3;Normalized data;Control;alpha-2;C
261;Average raters absolute;0.923908;13.142023;644;1935;0.0;[0.91 0.93];ICC1k;Normalized data;Control;alpha-2;C
262;Average random raters;0.924127;13.660199;644;1932;0.0;[0.91 0.93];ICC2k;Normalized data;Control;alpha-2;C
263;Average fixed raters;0.926795;13.660199;644;1932;0.0;[0.92 0.94];ICC3k;Normalized data;Control;alpha-2;C
264;Single raters absolute;0.791985;16.22941;644;1935;0.0;[0.77 0.81];ICC1;Normalized data;Control;beta1;C
265;Single random raters;0.792564;17.148736;644;1932;0.0;[0.77 0.82];ICC2;Normalized data;Control;beta1;C
266;Single fixed raters;0.801476;17.148736;644;1932;0.0;[0.78 0.82];ICC3;Normalized data;Control;beta1;C
267;Average raters absolute;0.938383;16.22941;644;1935;0.0;[0.93 0.95];ICC1k;Normalized data;Control;beta1;C
268;Average random raters;0.938586;17.148736;644;1932;0.0;[0.93 0.95];ICC2k;Normalized data;Control;beta1;C
269;Average fixed raters;0.941687;17.148736;644;1932;0.0;[0.93 0.95];ICC3k;Normalized data;Control;beta1;C
270;Single raters absolute;0.82639;20.040171;644;1935;0.0;[0.81 0.84];ICC1;Normalized data;Control;beta2;C
271;Single random raters;0.826669;20.810343;644;1932;0.0;[0.8  0.85];ICC2;Normalized data;Control;beta2;C
272;Single fixed raters;0.832006;20.810343;644;1932;0.0;[0.81 0.85];ICC3;Normalized data;Control;beta2;C
273;Average raters absolute;0.9501;20.040171;644;1935;0.0;[0.94 0.96];ICC1k;Normalized data;Control;beta2;C
274;Average random raters;0.950192;20.810343;644;1932;0.0;[0.94 0.96];ICC2k;Normalized data;Control;beta2;C
275;Average fixed raters;0.951947;20.810343;644;1932;0.0;[0.95 0.96];ICC3k;Normalized data;Control;beta2;C
276;Single raters absolute;0.837595;21.629817;644;1935;0.0;[0.82 0.86];ICC1;Normalized data;Control;beta3;C
277;Single random raters;0.837697;21.968619;644;1932;0.0;[0.82 0.86];ICC2;Normalized data;Control;beta3;C
278;Single fixed raters;0.839799;21.968619;644;1932;0.0;[0.82 0.86];ICC3;Normalized data;Control;beta3;C
279;Average raters absolute;0.953768;21.629817;644;1935;0.0;[0.95 0.96];ICC1k;Normalized data;Control;beta3;C
280;Average random raters;0.9538;21.968619;644;1932;0.0;[0.95 0.96];ICC2k;Normalized data;Control;beta3;C
281;Average fixed raters;0.954481;21.968619;644;1932;0.0;[0.95 0.96];ICC3k;Normalized data;Control;beta3;C
282;Single raters absolute;0.689318;9.874895;644;1935;0.0;[0.66 0.72];ICC1;Normalized data;Control;gamma;C
283;Single random raters;0.689594;9.989468;644;1932;0.0;[0.66 0.72];ICC2;Normalized data;Control;gamma;C
284;Single fixed raters;0.692058;9.989468;644;1932;0.0;[0.66 0.72];ICC3;Normalized data;Control;gamma;C
285;Average raters absolute;0.898733;9.874895;644;1935;0.0;[0.89 0.91];ICC1k;Normalized data;Control;gamma;C
286;Average random raters;0.898851;9.989468;644;1932;0.0;[0.89 0.91];ICC2k;Normalized data;Control;gamma;C
287;Average fixed raters;0.899895;9.989468;644;1932;0.0;[0.89 0.91];ICC3k;Normalized data;Control;gamma;C
288;Single raters absolute;0.53823;5.662318;816;2451;0.0;[0.5  0.57];ICC1;Normalized data;Control;delta;PO
289;Single random raters;0.54374;6.323883;816;2448;0.0;[0.49 0.59];ICC2;Normalized data;Control;delta;PO
290;Single fixed raters;0.570994;6.323883;816;2448;0.0;[0.54 0.6 ];ICC3;Normalized data;Control;delta;PO
291;Average raters absolute;0.823394;5.662318;816;2451;0.0;[0.8  0.84];ICC1k;Normalized data;Control;delta;PO
292;Average random raters;0.826598;6.323883;816;2448;0.0;[0.79 0.85];ICC2k;Normalized data;Control;delta;PO
293;Average fixed raters;0.841869;6.323883;816;2448;0.0;[0.82 0.86];ICC3k;Normalized data;Control;delta;PO
294;Single raters absolute;0.831385;20.722663;816;2451;0.0;[0.81 0.85];ICC1;Normalized data;Control;theta;PO
295;Single random raters;0.831724;21.763841;816;2448;0.0;[0.81 0.85];ICC2;Normalized data;Control;theta;PO
296;Single fixed raters;0.838474;21.763841;816;2448;0.0;[0.82 0.85];ICC3;Normalized data;Control;theta;PO
297;Average raters absolute;0.951744;20.722663;816;2451;0.0;[0.95 0.96];ICC1k;Normalized data;Control;theta;PO
298;Average random raters;0.951855;21.763841;816;2448;0.0;[0.94 0.96];ICC2k;Normalized data;Control;theta;PO
299;Average fixed raters;0.954052;21.763841;816;2448;0.0;[0.95 0.96];ICC3k;Normalized data;Control;theta;PO
300;Single raters absolute;0.723148;11.448171;816;2451;0.0;[0.7  0.75];ICC1;Normalized data;Control;alpha-1;PO
301;Single random raters;0.724954;12.647738;816;2448;0.0;[0.68 0.76];ICC2;Normalized data;Control;alpha-1;PO
302;Single fixed raters;0.744372;12.647738;816;2448;0.0;[0.72 0.77];ICC3;Normalized data;Control;alpha-1;PO
303;Average raters absolute;0.91265;11.448171;816;2451;0.0;[0.9  0.92];ICC1k;Normalized data;Control;alpha-1;PO
304;Average random raters;0.913368;12.647738;816;2448;0.0;[0.9  0.93];ICC2k;Normalized data;Control;alpha-1;PO
305;Average fixed raters;0.920934;12.647738;816;2448;0.0;[0.91 0.93];ICC3k;Normalized data;Control;alpha-1;PO
306;Single raters absolute;0.731754;11.911676;816;2451;0.0;[0.71 0.76];ICC1;Normalized data;Control;alpha-2;PO
307;Single random raters;0.732527;12.448612;816;2448;0.0;[0.7  0.76];ICC2;Normalized data;Control;alpha-2;PO
308;Single fixed raters;0.741077;12.448612;816;2448;0.0;[0.72 0.76];ICC3;Normalized data;Control;alpha-2;PO
309;Average raters absolute;0.916049;11.911676;816;2451;0.0;[0.91 0.93];ICC1k;Normalized data;Control;alpha-2;PO
310;Average random raters;0.916352;12.448612;816;2448;0.0;[0.9  0.93];ICC2k;Normalized data;Control;alpha-2;PO
311;Average fixed raters;0.91967;12.448612;816;2448;0.0;[0.91 0.93];ICC3k;Normalized data;Control;alpha-2;PO
312;Single raters absolute;0.813322;18.42724;816;2451;0.0;[0.79 0.83];ICC1;Normalized data;Control;beta1;PO
313;Single random raters;0.8134;18.594867;816;2448;0.0;[0.79 0.83];ICC2;Normalized data;Control;beta1;PO
314;Single fixed raters;0.814771;18.594867;816;2448;0.0;[0.8  0.83];ICC3;Normalized data;Control;beta1;PO
315;Average raters absolute;0.945733;18.42724;816;2451;0.0;[0.94 0.95];ICC1k;Normalized data;Control;beta1;PO
316;Average random raters;0.945759;18.594867;816;2448;0.0;[0.94 0.95];ICC2k;Normalized data;Control;beta1;PO
317;Average fixed raters;0.946222;18.594867;816;2448;0.0;[0.94 0.95];ICC3k;Normalized data;Control;beta1;PO
318;Single raters absolute;0.814788;18.596861;816;2451;0.0;[0.8  0.83];ICC1;Normalized data;Control;beta2;PO
319;Single random raters;0.815134;19.379612;816;2448;0.0;[0.79 0.83];ICC2;Normalized data;Control;beta2;PO
320;Single fixed raters;0.821266;19.379612;816;2448;0.0;[0.8  0.84];ICC3;Normalized data;Control;beta2;PO
321;Average raters absolute;0.946227;18.596861;816;2451;0.0;[0.94 0.95];ICC1k;Normalized data;Control;beta2;PO
322;Average random raters;0.946344;19.379612;816;2448;0.0;[0.94 0.95];ICC2k;Normalized data;Control;beta2;PO
323;Average fixed raters;0.948399;19.379612;816;2448;0.0;[0.94 0.95];ICC3k;Normalized data;Control;beta2;PO
324;Single raters absolute;0.84104;22.163489;816;2451;0.0;[0.82 0.86];ICC1;Normalized data;Control;beta3;PO
325;Single random raters;0.841238;22.881598;816;2448;0.0;[0.82 0.86];ICC2;Normalized data;Control;beta3;PO
326;Single fixed raters;0.84545;22.881598;816;2448;0.0;[0.83 0.86];ICC3;Normalized data;Control;beta3;PO
327;Average raters absolute;0.954881;22.163489;816;2451;0.0;[0.95 0.96];ICC1k;Normalized data;Control;beta3;PO
328;Average random raters;0.954945;22.881598;816;2448;0.0;[0.95 0.96];ICC2k;Normalized data;Control;beta3;PO
329;Average fixed raters;0.956297;22.881598;816;2448;0.0;[0.95 0.96];ICC3k;Normalized data;Control;beta3;PO
330;Single raters absolute;0.752052;13.13242;816;2451;0.0;[0.73 0.77];ICC1;Normalized data;Control;gamma;PO
331;Single random raters;0.752456;13.487314;816;2448;0.0;[0.73 0.78];ICC2;Normalized data;Control;gamma;PO
332;Single fixed raters;0.757389;13.487314;816;2448;0.0;[0.73 0.78];ICC3;Normalized data;Control;gamma;PO
333;Average raters absolute;0.923853;13.13242;816;2451;0.0;[0.91 0.93];ICC1k;Normalized data;Control;gamma;PO
334;Average random raters;0.924005;13.487314;816;2448;0.0;[0.91 0.93];ICC2k;Normalized data;Control;gamma;PO
335;Average fixed raters;0.925856;13.487314;816;2448;0.0;[0.92 0.93];ICC3k;Normalized data;Control;gamma;PO
336;Single raters absolute;0.552122;5.930999;429;1290;0.0;[0.51 0.6 ];ICC1;Normalized data;Control;delta;T
337;Single random raters;0.554973;6.29091;429;1287;0.0;[0.5 0.6];ICC2;Normalized data;Control;delta;T
338;Single fixed raters;0.569472;6.29091;429;1287;0.0;[0.52 0.61];ICC3;Normalized data;Control;delta;T
339;Average raters absolute;0.831394;5.930999;429;1290;0.0;[0.8  0.86];ICC1k;Normalized data;Control;delta;T
340;Average random raters;0.833005;6.29091;429;1287;0.0;[0.8  0.86];ICC2k;Normalized data;Control;delta;T
341;Average fixed raters;0.84104;6.29091;429;1287;0.0;[0.82 0.86];ICC3k;Normalized data;Control;delta;T
342;Single raters absolute;0.859167;25.402402;429;1290;0.0;[0.84 0.88];ICC1;Normalized data;Control;theta;T
343;Single random raters;0.859237;25.767802;429;1287;0.0;[0.84 0.88];ICC2;Normalized data;Control;theta;T
344;Single fixed raters;0.860956;25.767802;429;1287;0.0;[0.84 0.88];ICC3;Normalized data;Control;theta;T
345;Average raters absolute;0.960634;25.402402;429;1290;0.0;[0.95 0.97];ICC1k;Normalized data;Control;theta;T
346;Average random raters;0.960656;25.767802;429;1287;0.0;[0.95 0.97];ICC2k;Normalized data;Control;theta;T
347;Average fixed raters;0.961192;25.767802;429;1287;0.0;[0.95 0.97];ICC3k;Normalized data;Control;theta;T
348;Single raters absolute;0.746974;12.808681;429;1290;0.0;[0.71 0.78];ICC1;Normalized data;Control;alpha-1;T
349;Single random raters;0.747865;13.56643;429;1287;0.0;[0.71 0.78];ICC2;Normalized data;Control;alpha-1;T
350;Single fixed raters;0.758548;13.56643;429;1287;0.0;[0.73 0.79];ICC3;Normalized data;Control;alpha-1;T
351;Average raters absolute;0.921928;12.808681;429;1290;0.0;[0.91 0.93];ICC1k;Normalized data;Control;alpha-1;T
352;Average random raters;0.922267;13.56643;429;1287;0.0;[0.91 0.93];ICC2k;Normalized data;Control;alpha-1;T
353;Average fixed raters;0.926289;13.56643;429;1287;0.0;[0.91 0.94];ICC3k;Normalized data;Control;alpha-1;T
354;Single raters absolute;0.745994;12.747632;429;1290;0.0;[0.71 0.78];ICC1;Normalized data;Control;alpha-2;T
355;Single random raters;0.746548;13.202276;429;1287;0.0;[0.71 0.78];ICC2;Normalized data;Control;alpha-2;T
356;Single fixed raters;0.753121;13.202276;429;1287;0.0;[0.72 0.78];ICC3;Normalized data;Control;alpha-2;T
357;Average raters absolute;0.921554;12.747632;429;1290;0.0;[0.91 0.93];ICC1k;Normalized data;Control;alpha-2;T
358;Average random raters;0.921765;13.202276;429;1287;0.0;[0.91 0.93];ICC2k;Normalized data;Control;alpha-2;T
359;Average fixed raters;0.924255;13.202276;429;1287;0.0;[0.91 0.94];ICC3k;Normalized data;Control;alpha-2;T
360;Single raters absolute;0.722947;11.437688;429;1290;0.0;[0.69 0.76];ICC1;Normalized data;Control;beta1;T
361;Single random raters;0.72323;11.608911;429;1287;0.0;[0.69 0.76];ICC2;Normalized data;Control;beta1;T
362;Single fixed raters;0.726195;11.608911;429;1287;0.0;[0.69 0.76];ICC3;Normalized data;Control;beta1;T
363;Average raters absolute;0.91257;11.437688;429;1290;0.0;[0.9  0.93];ICC1k;Normalized data;Control;beta1;T
364;Average random raters;0.912682;11.608911;429;1287;0.0;[0.9  0.93];ICC2k;Normalized data;Control;beta1;T
365;Average fixed raters;0.913859;11.608911;429;1287;0.0;[0.9  0.93];ICC3k;Normalized data;Control;beta1;T
366;Single raters absolute;0.723535;11.468403;429;1290;0.0;[0.69 0.76];ICC1;Normalized data;Control;beta2;T
367;Single random raters;0.723849;11.660012;429;1287;0.0;[0.69 0.76];ICC2;Normalized data;Control;beta2;T
368;Single fixed raters;0.727149;11.660012;429;1287;0.0;[0.69 0.76];ICC3;Normalized data;Control;beta2;T
369;Average raters absolute;0.912804;11.468403;429;1290;0.0;[0.9  0.93];ICC1k;Normalized data;Control;beta2;T
370;Average random raters;0.912929;11.660012;429;1287;0.0;[0.9  0.93];ICC2k;Normalized data;Control;beta2;T
371;Average fixed raters;0.914237;11.660012;429;1287;0.0;[0.9  0.93];ICC3k;Normalized data;Control;beta2;T
372;Single raters absolute;0.76862;14.287601;429;1290;0.0;[0.74 0.8 ];ICC1;Normalized data;Control;beta3;T
373;Single random raters;0.768703;14.376316;429;1287;0.0;[0.74 0.8 ];ICC2;Normalized data;Control;beta3;T
374;Single fixed raters;0.769802;14.376316;429;1287;0.0;[0.74 0.8 ];ICC3;Normalized data;Control;beta3;T
375;Average raters absolute;0.930009;14.287601;429;1290;0.0;[0.92 0.94];ICC1k;Normalized data;Control;beta3;T
376;Average random raters;0.930039;14.376316;429;1287;0.0;[0.92 0.94];ICC2k;Normalized data;Control;beta3;T
377;Average fixed raters;0.930441;14.376316;429;1287;0.0;[0.92 0.94];ICC3k;Normalized data;Control;beta3;T
378;Single raters absolute;0.668631;9.071147;429;1290;0.0;[0.63 0.71];ICC1;Normalized data;Control;gamma;T
379;Single random raters;0.669056;9.214036;429;1287;0.0;[0.63 0.71];ICC2;Normalized data;Control;gamma;T
380;Single fixed raters;0.672508;9.214036;429;1287;0.0;[0.63 0.71];ICC3;Normalized data;Control;gamma;T
381;Average raters absolute;0.88976;9.071147;429;1290;0.0;[0.87 0.91];ICC1k;Normalized data;Control;gamma;T
382;Average random raters;0.889948;9.214036;429;1287;0.0;[0.87 0.91];ICC2k;Normalized data;Control;gamma;T
383;Average fixed raters;0.89147;9.214036;429;1287;0.0;[0.87 0.91];ICC3k;Normalized data;Control;gamma;T
