;Description;ICC;F;df1;df2;pval;CI95%;Type;Stage;Group;Bands;Roi
45;Average raters absolute;0.921079;12.670947;601;1806;0.0;[0.91 0.93];ICC1k;Preprocessed data;Control;gamma;F
46;Average random raters;0.921125;12.765306;601;1803;0.0;[0.91 0.93];ICC2k;Preprocessed data;Control;gamma;F
47;Average fixed raters;0.921663;12.765306;601;1803;0.0;[0.91 0.93];ICC3k;Preprocessed data;Control;gamma;F
48;Single raters absolute;0.650655;8.449998;644;1935;0.0;[0.62 0.68];ICC1;Preprocessed data;Control;delta;C
49;Single random raters;0.652176;8.895458;644;1932;0.0;[0.61 0.69];ICC2;Preprocessed data;Control;delta;C
50;Single fixed raters;0.663737;8.895458;644;1932;0.0;[0.63 0.69];ICC3;Preprocessed data;Control;delta;C
51;Average raters absolute;0.881657;8.449998;644;1935;0.0;[0.87 0.9 ];ICC1k;Preprocessed data;Control;delta;C
52;Average random raters;0.882354;8.895458;644;1932;0.0;[0.86 0.9 ];ICC2k;Preprocessed data;Control;delta;C
53;Average fixed raters;0.887583;8.895458;644;1932;0.0;[0.87 0.9 ];ICC3k;Preprocessed data;Control;delta;C
54;Single raters absolute;0.858932;25.355184;644;1935;0.0;[0.84 0.87];ICC1;Preprocessed data;Control;theta;C
55;Single random raters;0.859049;25.962161;644;1932;0.0;[0.84 0.87];ICC2;Preprocessed data;Control;theta;C
56;Single fixed raters;0.861889;25.962161;644;1932;0.0;[0.85 0.88];ICC3;Preprocessed data;Control;theta;C
57;Average raters absolute;0.96056;25.355184;644;1935;0.0;[0.96 0.97];ICC1k;Preprocessed data;Control;theta;C
58;Average random raters;0.960597;25.962161;644;1932;0.0;[0.96 0.97];ICC2k;Preprocessed data;Control;theta;C
59;Average fixed raters;0.961482;25.962161;644;1932;0.0;[0.96 0.97];ICC3k;Preprocessed data;Control;theta;C
60;Single raters absolute;0.739005;12.325963;644;1935;0.0;[0.71 0.76];ICC1;Preprocessed data;Control;alpha-1;C
